TIMELINE DỰ ÁN,,,,
STT,Tên học viên,Nguyễn Văn A,,Ghi chú
,Ý tưởng dự án,"Dự án ""Chinh phục Vũ Môn"".

Thông điệp của dự án: Dự án Chinh phục Vũ Môn dạy chúng ta bài học về sự cố gắng và kiên trì. Cá chép phải bơi ngược dòng nước mạnh, vượt qua những thử thách khó khăn để hóa thành rồng. Điều này giống như khi chúng ta chăm chỉ học tập hay làm việc, dù có khó khăn đến đâu, nếu cố gắng hết mình, chúng ta sẽ đạt được thành công. Câu chuyện còn muốn nói rằng, ai cố gắng không ngừng sẽ nhận được điều tốt đẹp và may mắn trong cuộc sống

Mô tả dự án: Người chơi điều khiển nhân vật chính bằng chuyển động của cổ (hoặc các phím điều hướng), di chuyển tránh các chướng ngại vật và nhặt nhiều ngôi sao trên đường di chuyển. Trong trò chơi sẽ có thêm các chức năng:
- Tốc độ di chuyển của tất cả nhân vật sẽ tăng dần dựa trên điểm số.
- Hiển thị điểm số thông qua nhân vật
- Hiển thị lượng HP thông qua nhân vật
- Hiệu ứng ẩn nhân vật, xoá bản sao
- Hiệu ứng di chuyển (animation) cho nhân vật
- Ghi nhận điểm số và giao diện kết thúc",,
1,"Buổi 2
Ý tưởng","Xác định ý tưởng cho dự án (Điền vào mục ""Ý tưởng dự án"")",Hoàn thành, 
2,,"Mô tả thông điệp của dự án (Điền vào mục ""Ý tưởng dự án"")",Hoàn thành,
3,,"Mô tả ý tưởng cho dự án (Điền vào mục ""Ý tưởng dự án"")",Hoàn thành,
4,,"Mô tả các chức năng đi kèm trong dự án (Điền vào mục ""Ý tưởng dự án"")",Hoàn thành,
5,,Xây dựng timeline từng buổi học cho dự án ,Hoàn thành,
6,"Buổi 3
Tài nguyên",Lên kế hoạch cho các tài nguyên cần có cho dự án,Chưa hoàn thành, 
7,,Tìm kiếm các tài nguyên cho dự án ,Chưa hoàn thành,
8,,Sử dụng công cụ AI để xây dựng các tài nguyên không có sẵn trên Internet,Chưa hoàn thành,
9,,Thực hiện tự thiết kế các tài nguyên không có sẵn trên Internet,Chưa hoàn thành,
10,,Thực hiện thêm các tài nguyên vào dự án,Chưa hoàn thành,
11,"Buổi 4
Giao diện ",Phác thảo sơ đồ giao diện cho dự án của em,Chưa hoàn thành, 
12,,"Thiết lập vị trí cho các thành phần cơ bản trên giao diện Guide, Setting, ...",Chưa hoàn thành,
13,,Khởi tạo các tin nhắn cần thiết cho giao diện,Chưa hoàn thành,
14,,Thực hiện lập trình cho giao diện điều hướng (Giao diện Menu),Chưa hoàn thành,
15,,"Thực hiện tạo hiệu ứng hover, clicked cho các nút trên giao diện điều hướng",Chưa hoàn thành,
16,,Thực hiện lập trình cho tắt/mở giao diện cài đặt (Giao diện Setting),Chưa hoàn thành,
